Id,UPC/SKU,Name,Description,Type,Price,Cost,MSRP,OnHand,Location,MinQty,Taxable1,Taxable2,GroupAtSale,Active,Categories,Favorites,Notes,NotesType
"416","","Status candle bulbs sec 42W. X10","","S",7,5,0,0,"",0,N,N,N,Y,"Ampul+mum",,"",S
"417","","Status candle bulbs ec 40W. X10","","S",7,5,0,0,"",0,N,N,N,Y,"Ampul+mum",,"",S
"418","","Status candle bulbs ec 60W. X10","","S",7,5,0,0,"",0,N,N,N,Y,"Ampul+mum",,"",S
"419","","Status candle bulbs sbc 40W  X10","","S",7,5,0,0,"",0,N,N,N,Y,"Ampul+mum",,"",S
"420","","Maxim candle bulbs sbc 60W. X10","","S",4.5,0,0,0,"",0,N,N,N,Y,"Ampul+mum",,"",S
"421","","Status candle bulbs bc 42W  X10","","S",7,5,0,0,"",0,N,N,N,Y,"Ampul+mum",,"",S
"422","","Status candle bulbs bc 28W. X10","","S",7,5,0,0,"",0,N,N,N,Y,"Ampul+mum",,"",S
"423","","Birthday candles X24","","S",10,7.5,0,0,"",0,N,N,N,Y,"Ampul+mum",,"",S
"424","","Pocket tissue 10's","","S",1,0.55,0,0,"",0,N,N,N,Y,"Glue+tape+card+gillet",,"",S
"425","","Brown tape x6","","S",4,2.5,0,0,"",0,N,N,N,Y,"Glue+tape+card+gillet",,"",S
"426","","Clear tape x6","","S",4,2.5,0,0,"",0,N,N,N,Y,"Glue+tape+card+gillet",,"",S
"427","","Sello tape small X8","","S",3,1.5,0,0,"",0,N,N,N,Y,"Glue+tape+card+gillet",,"",S
"428","","Prima sello tape large X6","","S",3,1.5,0,0,"",0,N,N,N,Y,"Glue+tape+card+gillet",,"",S
"429","","Bos","","S",4,0,0,0,"",0,N,N,N,Y,"Glue+tape+card+gillet",,"",S
"430","","Bos","","S",6,0,0,0,"",0,N,N,N,Y,"Glue+tape+card+gillet",,"",S
"431","","GSD super glue 3gr  x24","","S",6,4.5,0,0,"",0,N,N,N,Y,"Glue+tape+card+gillet",,"",S
"432","","Loctite super glue 3gr x24","","S",33,30,0,0,"",0,N,N,N,Y,"Glue+tape+card+gillet",,"",S
"433","","Waddington playing card x12","","S",13,10.5,0,0,"",0,N,N,N,Y,"Glue+tape+card+gillet",,"",S
"434","","Blue tuck x12","","S",7.5,5.7,0,0,"",0,N,N,N,Y,"Glue+tape+card+gillet",,"",S
"435","","Tipp ex   X10","","S",11,0,0,0,"",0,N,N,N,Y,"Glue+tape+card+gillet",,"",S
"436","","Pruitt stick x25","","S",13.5,0,0,0,"",0,N,N,N,Y,"Glue+tape+card+gillet",,"",S
"437","","Gillette Mach 3 blade 4's. X10","","S",50,0,0,0,"",0,N,N,N,Y,"Glue+tape+card+gillet",,"",S
